City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
abonnema,4.7084,6.7931,75.49,87,100,8.21,NG,1664127579
abu dhabi,24.4667,54.3667,89.71,81,0,4.61,AE,1664127421
acurenam,1.0322,10.6488,69.08,99,99,3.83,GQ,1664127579
adrar,20.5022,-10.0711,99.12,22,24,7.7,MR,1664127579
ahipara,-35.1667,173.1667,57.38,89,92,10.49,NZ,1664127580
airai,-8.9266,125.4092,58.05,75,45,2.21,TL,1664127580
aklavik,68.2191,-135.0107,35.6,100,100,4.61,CA,1664127580
aksarka,66.5606,67.7975,27.61,84,23,8.63,RU,1664127580
aktau,43.65,51.2,61.38,49,10,10.8,KZ,1664127389
akyab,20.15,92.9,80.2,81,100,2.71,MM,1664127580
albania,41.0,20.0,64.89,63,67,3.8,AL,1664127412
albany,42.6001,-73.9662,61.57,76,97,1.01,US,1664127581
alexandria,31.2156,29.9553,79.34,69,0,11.5,EG,1664127477
alice,27.7523,-98.0697,89.76,53,0,3.44,US,1664127581
alice springs,-23.7,133.8833,72.21,26,90,6.91,AU,1664127581
alofi,-19.0595,-169.9187,73.29,100,100,2.3,NU,1664127582
altay,47.8667,88.1167,56.73,49,4,4.27,CN,1664127582
alugan,12.2188,125.4808,77.14,90,100,5.99,PH,1664127582
alyangula,-13.8483,136.4192,76.8,74,24,1.12,AU,1664127582
amapa,1.0,-52.0,97.48,30,29,6.46,BR,1664127583
ambon,-3.6954,128.1814,78.94,83,40,3.44,ID,1664127583
ambulu,-8.345,113.6058,75.07,91,97,4.36,ID,1664127583
amot,59.5714,7.9877,46.76,85,100,3.36,NO,1664127583
anastacio,-20.4836,-55.8069,99.37,26,53,7.74,BR,1664127583
ancud,-41.8697,-73.8203,48.22,76,75,19.01,CL,1664127583
andra,62.5147,65.8878,28.4,79,6,5.79,RU,1664127583
antsohihy,-14.8796,47.9875,74.97,53,0,10.85,MG,1664127584
aracuai,-16.8497,-42.0703,80.46,53,87,9.44,BR,1664127584
araouane,18.9048,-3.5265,102.76,16,66,6.62,ML,1664127584
ardeoani,46.5333,26.6,59.25,60,65,4.07,RO,1664127584
argelia,2.2556,-77.2488,78.62,65,96,2.33,CO,1664127584
arlit,18.7369,7.3853,103.41,8,25,7.47,NE,1664127584
arman,59.7,150.1667,37.69,60,100,8.88,RU,1664127585
arraial do cabo,-22.9661,-42.0278,75.16,68,75,13.8,BR,1664127585
asau,46.4333,26.4,58.28,64,69,3.8,RO,1664127585
asosa,10.0667,34.5333,60.53,92,83,3.27,ET,1664127585
atar,20.5169,-13.0499,97.16,33,67,10.98,MR,1664127585
atuona,-9.8,-139.0333,76.71,73,68,19.73,PF,1664127585
avarua,-21.2078,-159.775,73.45,83,40,13.8,CK,1664127586
avera,33.194,-82.5271,83.71,36,31,8.63,US,1664127586
ayodhya,26.8,82.2,77.27,91,100,2.39,IN,1664127586
azul,-36.777,-59.8585,68.34,34,68,9.8,AR,1664127586
baiyin,36.5583,104.2081,61.0,49,22,1.97,CN,1664127586
ballina,-28.8667,153.5667,59.02,99,60,4.36,AU,1664127586
bambous virieux,-20.3428,57.7575,71.85,73,40,16.11,MU,1664127586
banda aceh,5.5577,95.3222,79.25,80,100,10.38,ID,1664127587
bandarbeyla,9.4942,50.8122,77.36,85,57,24.61,SO,1664127587
banjar,-8.19,114.9675,76.1,89,81,7.63,ID,1664127587
barcelos,41.5388,-8.6151,72.68,44,27,7.76,PT,1664127587
barranca,-10.75,-77.7667,65.19,71,68,13.27,PE,1664127587
barrow,71.2906,-156.7887,30.22,80,100,16.11,US,1664127588
bartica,6.4,-58.6167,77.32,50,67,2.42,GY,1664127588
baruun-urt,46.6806,113.2792,40.62,63,35,4.65,MN,1664127588
basoko,1.2391,23.616,75.63,82,71,2.21,CD,1664127588
batagay,67.6333,134.6333,28.04,63,100,2.21,RU,1664127588
batagay-alyta,67.8006,130.4114,26.71,82,100,3.67,RU,1664127588
bathsheba,13.2167,-59.5167,86.61,74,40,20.71,BB,1664127588
bay roberts,47.5999,-53.2648,59.32,83,100,8.01,CA,1664127589
benalla,-36.55,145.9833,46.85,84,97,4.12,AU,1664127589
bengkulu,-3.8004,102.2655,74.12,89,79,3.44,ID,1664127589
berbera,10.4396,45.0143,92.26,45,12,5.59,SO,1664127589
bereda,43.2686,-7.5406,59.41,70,10,7.05,ES,1664127589
beringovskiy,63.05,179.3167,33.15,60,19,10.67,RU,1664127589
berlevag,70.8578,29.0864,46.4,71,3,11.5,NO,1664127590
bethel,41.3712,-73.414,70.11,72,20,10.36,US,1664127590
beyneu,45.3167,55.2,60.26,53,28,15.43,KZ,1664127590
biak,-0.9131,122.8766,74.23,80,33,6.2,ID,1664127590
bilma,18.6853,12.9164,97.11,10,22,5.46,NE,1664127590
birjand,32.8663,59.2211,66.67,9,0,6.91,IR,1664127457
bluff,-46.6,168.3333,49.8,91,98,2.86,NZ,1664127590
boksitogorsk,59.474,33.8485,46.6,95,100,3.4,RU,1664127590
bonavista,48.6499,-53.1147,57.69,70,100,21.72,CA,1664127591
bondo,3.8146,23.6866,71.69,90,98,3.11,CD,1664127591
boromo,11.75,-2.9333,84.33,63,69,0.56,BF,1664127591
brae,60.3964,-1.353,50.99,73,72,25.05,GB,1664127591
bredasdorp,-34.5322,20.0403,55.9,91,94,2.84,ZA,1664127591
brits,-25.6347,27.7802,81.52,30,4,2.77,ZA,1664127591
broken hill,-31.95,141.4333,64.96,48,93,6.69,AU,1664127592
broome,42.2506,-75.833,60.39,89,100,11.5,US,1664127592
brownsville,25.9018,-97.4975,88.09,70,0,5.75,US,1664127592
buala,-8.145,159.5921,78.62,79,89,1.23,SB,1664127592
bubaque,11.2833,-15.8333,76.77,81,100,4.7,GW,1664127592
bulaevo,54.9056,70.4439,45.28,81,100,14.47,KZ,1664127576
bundaberg,-24.85,152.35,58.21,94,0,1.01,AU,1664127592
buraydah,26.326,43.975,90.05,22,1,11.59,SA,1664127593
burnie,-41.0667,145.9167,43.95,85,35,1.63,AU,1664127593
burns lake,54.2331,-125.7533,53.02,65,100,4.23,CA,1664127593
businga,3.3333,20.8833,73.31,94,94,1.41,CD,1664127593
busselton,-33.65,115.3333,50.25,83,1,5.46,AU,1664127593
buta,2.7858,24.73,72.14,93,89,1.28,CD,1664127593
butaritari,3.0707,172.7902,80.92,71,2,11.43,KI,1664127593
ca mau,9.1769,105.15,77.79,86,100,2.3,VN,1664127594
cabo san lucas,22.8909,-109.9124,90.7,66,0,2.3,MX,1664127594
caborca,30.5838,-111.101,89.17,36,1,0.43,MX,1664127594
cabras,39.93,8.5314,71.78,73,48,7.83,IT,1664127594
cadillac,44.2519,-85.4012,55.31,82,100,6.91,US,1664127594
cairns,-16.9167,145.7667,73.35,89,75,0.0,AU,1664127594
calabozo,8.9242,-67.4293,84.65,67,100,2.66,VE,1664127595
caldwell,43.6629,-116.6874,74.35,37,0,0.0,US,1664127595
camacha,33.0833,-16.3333,69.22,64,40,17.27,PT,1664127595
campbell river,50.0163,-125.2446,64.45,77,20,2.3,CA,1664127595
candelaria,13.9311,121.4233,77.4,95,100,1.97,PH,1664127551
cape town,-33.9258,18.4232,62.11,80,20,4.61,ZA,1664127449
caravelas,-17.7125,-39.2481,72.7,77,100,9.01,BR,1664127596
cardston,49.2,-113.3019,66.49,48,8,1.14,CA,1664127596
carnarvon,-24.8667,113.6333,63.97,57,0,25.14,AU,1664127596
castro,-24.7911,-50.0119,60.6,63,98,7.49,BR,1664127596
cayenne,4.9333,-52.3333,89.64,58,0,14.97,GF,1664127344
chake chake,-5.2459,39.7666,74.84,89,80,10.8,TZ,1664127596
changli,39.7042,119.1506,59.25,71,0,2.42,CN,1664127597
channel-port aux basques,47.5702,-59.1367,56.35,69,82,22.46,CA,1664127597
cherskiy,68.75,161.3,25.83,84,93,3.94,RU,1664127597
chicama,-7.8447,-79.1469,59.54,60,66,11.25,PE,1664127597
chokurdakh,70.6333,147.9167,30.04,82,99,9.48,RU,1664127597
chuy,-33.6971,-53.4616,63.57,62,89,14.0,UY,1664127597
cidreira,-30.1811,-50.2056,63.57,80,95,16.62,BR,1664127598
clyde river,70.4692,-68.5914,43.03,70,0,8.05,CA,1664127598
codrington,-38.2667,141.9667,50.5,94,100,4.21,AU,1664127598
cody,44.5263,-109.0565,68.92,45,0,3.0,US,1664127598
coihaique,-45.5752,-72.0662,52.41,50,75,3.44,CL,1664127598
college,64.8569,-147.8028,41.9,81,40,0.0,US,1664127599
college station,30.628,-96.3344,92.95,51,0,5.75,US,1664127593
constantine,36.365,6.6147,67.41,68,75,17.27,DZ,1664127594
constitucion,-35.3333,-72.4167,56.59,60,29,11.23,CL,1664127599
conyers,33.6676,-84.0177,80.08,62,0,3.44,US,1664127599
coos bay,43.3665,-124.2179,66.24,100,0,0.0,US,1664127599
copalillo,18.0333,-99.1167,78.91,68,94,0.56,MX,1664127599
coquimbo,-29.9533,-71.3436,58.73,72,0,11.5,CL,1664127600
cowra,-33.8333,148.6833,43.11,88,89,2.59,AU,1664127600
cururupu,-1.8283,-44.8683,85.78,58,60,7.38,BR,1664127601
dalgopol,43.05,27.35,63.93,69,47,4.54,BG,1664127601
dalmatovo,56.26,62.9362,43.12,88,100,18.97,RU,1664127601
darhan,49.4867,105.9228,45.16,61,54,6.2,MN,1664127601
daru,-9.0763,143.2092,78.96,90,80,12.77,PG,1664127602
deputatskiy,69.3,139.9,19.89,97,100,3.65,RU,1664127391
derbent,42.0678,48.2899,62.06,62,21,5.77,RU,1664127395
dhanwar,24.4167,85.9833,76.73,88,95,0.63,IN,1664127603
dhidhdhoo,6.8833,73.1,83.23,72,52,14.27,MV,1664127603
dholka,22.7167,72.4667,86.38,74,59,4.83,IN,1664127604
diamantino,-14.4086,-56.4461,100.11,24,19,8.55,BR,1664127605
dikson,73.5069,80.5464,32.77,80,100,19.6,RU,1664127605
dingle,10.9995,122.6711,76.08,96,100,12.08,PH,1664127605
divnomorskoye,44.5011,38.1353,59.7,73,20,6.6,RU,1664127606
dong xoai,11.5333,106.9167,73.54,99,100,4.16,VN,1664127606
dukat,62.55,155.55,18.1,99,100,1.74,RU,1664127606
dunedin,-45.8742,170.5036,48.79,87,100,1.99,NZ,1664127607
dvinskoy,62.1535,45.1175,44.65,91,100,8.68,RU,1664127607
east london,-33.0153,27.9116,63.54,82,20,23.02,ZA,1664127330
eenhana,-17.4667,16.3333,80.4,15,3,7.85,NA,1664127607
egvekinot,66.3167,-179.1667,24.85,68,73,13.06,RU,1664127607
elban,50.1018,136.5094,48.63,97,24,4.12,RU,1664127608
ende,-8.8432,121.6623,76.95,87,90,3.15,ID,1664127608
esperance,-33.8667,121.9,55.56,78,44,9.86,AU,1664127608
eyl,7.9803,49.8164,78.44,76,52,17.22,SO,1664127608
faanui,-16.4833,-151.75,78.19,75,36,20.11,PF,1664127608
faya,18.3851,42.4509,75.31,24,92,13.38,SA,1664127608
fayaoue,-20.65,166.5333,76.12,81,0,11.23,NC,1664127608
finschhafen,-6.6024,147.8681,78.13,82,25,4.74,PG,1664127608
flic en flac,-20.2742,57.3631,72.16,76,2,14.9,MU,1664127609
flinders,-34.5833,150.8552,50.38,88,51,1.99,AU,1664127609
fort nelson,58.8053,-122.7002,42.39,70,100,0.0,CA,1664127609
fuxin,42.0156,121.6589,58.98,60,24,2.71,CN,1664127610
galeana,24.8333,-100.0667,71.17,57,9,7.29,MX,1664127610
gaoual,11.75,-13.2,79.5,91,84,2.95,GN,1664127610
gat,31.61,34.7642,84.4,16,0,9.24,IL,1664127610
gazanjyk,39.2446,55.5154,74.89,43,4,12.19,TM,1664127610
georgetown,5.4112,100.3354,80.89,84,20,2.3,MY,1664127611
geraldton,-28.7667,114.6,48.61,87,0,5.75,AU,1664127611
ghorawal,24.7667,82.7833,76.87,83,92,2.82,IN,1664127611
ginir,7.1333,40.7,62.65,66,93,10.36,ET,1664127611
goderich,43.7501,-81.7165,60.91,94,99,10.36,CA,1664127611
gold coast,-28.0,153.4333,60.01,95,26,0.0,AU,1664127611
gopalpur,19.2667,84.9167,80.15,82,85,0.89,IN,1664127611
goure,13.9835,10.2704,93.96,27,100,1.25,NE,1664127611
grand baie,-20.0182,57.5802,72.07,70,1,5.01,MU,1664127612
grand-santi,4.25,-54.3833,97.72,30,22,2.73,GF,1664127612
gravdal,68.1214,13.5031,54.45,66,89,28.27,NO,1664127612
griffith,41.5284,-87.4237,66.69,75,100,9.22,US,1664127612
grindavik,63.8424,-22.4338,48.67,66,20,17.27,IS,1664127613
guatire,10.4762,-66.5427,79.7,75,85,3.62,VE,1664127613
guerrero negro,27.9769,-114.0611,79.25,67,1,10.22,MX,1664127613
guiratinga,-16.3494,-53.7583,97.29,24,61,8.05,BR,1664127613
gulu,2.7746,32.299,67.15,84,36,1.99,UG,1664127613
gunjur,13.2019,-16.7339,79.25,81,99,9.86,GM,1664127613
gunnedah,-30.9833,150.25,46.53,85,5,4.0,AU,1664127613
haapiti,-17.5667,-149.8667,78.53,74,46,23.94,PF,1664127613
half moon bay,37.4636,-122.4286,71.11,86,100,6.91,US,1664127614
hambantota,6.1241,81.1185,79.61,84,97,13.24,LK,1664127614
hamilton,39.1834,-84.5333,75.15,55,40,18.41,US,1664127614
harper,4.375,-7.7169,74.91,92,99,12.26,LR,1664127614
hasaki,35.7333,140.8333,64.8,88,100,18.77,JP,1664127614
havelock,34.8791,-76.9013,84.18,57,72,3.0,US,1664127614
havoysund,70.9963,24.6622,52.03,73,6,18.66,NO,1664127614
havre-saint-pierre,50.2334,-63.5986,50.36,71,100,19.57,CA,1664127614
henties bay,-22.116,14.2845,56.8,83,66,7.34,NA,1664127614
hermanus,-34.4187,19.2345,59.81,84,100,5.19,ZA,1664127615
hibbing,47.4272,-92.9377,60.4,67,20,18.41,US,1664127615
high rock,26.6208,-78.2833,87.82,71,45,9.95,BS,1664127615
hilo,19.7297,-155.09,79.29,90,100,7.0,US,1664127615
hithadhoo,-0.6,73.0833,77.04,89,100,17.05,MV,1664127615
hitoyoshi,32.2167,130.75,71.38,97,86,2.57,JP,1664127615
hobart,-42.8794,147.3294,49.05,87,40,10.36,AU,1664127604
hobyo,5.3505,48.5268,76.87,84,68,22.37,SO,1664127616
hofn,64.2539,-15.2082,43.83,53,13,18.19,IS,1664127616
homer,59.6425,-151.5483,48.78,80,75,5.01,US,1664127616
houma,29.5958,-90.7195,91.99,55,0,4.0,US,1664127616
hovd,48.0056,91.6419,53.44,40,27,2.44,MN,1664127616
hualmay,-11.0964,-77.6139,66.81,69,58,14.05,PE,1664127616
huarmey,-10.0681,-78.1522,67.89,70,54,13.62,PE,1664127616
huilong,31.8111,121.655,69.93,78,100,6.31,CN,1664127617
husavik,66.0449,-17.3389,40.46,69,100,34.56,IS,1664127617
icod de los vinos,28.3724,-16.7119,71.76,96,100,12.62,ES,1664127617
igarka,67.4667,86.5833,26.33,88,99,11.95,RU,1664127617
ilulissat,69.2167,-51.1,35.62,60,75,4.61,GL,1664127618
inta,66.0317,60.1659,30.54,74,10,11.63,RU,1664127618
inverness,57.4791,-4.224,61.79,79,40,27.63,GB,1664127604
iqaluit,63.7506,-68.5145,35.33,87,75,6.91,CA,1664127548
isangel,-19.55,169.2667,74.52,86,7,4.23,VU,1664127618
ishurdi,24.1333,89.0833,80.65,83,95,3.09,BD,1664127618
itarema,-2.9248,-39.9167,84.52,60,11,20.56,BR,1664127618
izmit,40.7669,29.9169,56.41,83,0,0.0,TR,1664127396
jamestown,42.097,-79.2353,59.18,77,100,14.97,US,1664127619
japura,-0.3167,102.35,73.8,94,71,1.86,ID,1664127619
jardim,-21.4803,-56.1381,94.77,29,83,8.99,BR,1664127619
jatai,-17.8814,-51.7144,93.96,24,50,11.36,BR,1664127619
jibuti,11.5,42.5,88.34,40,0,5.99,DJ,1664127619
jimani,18.4917,-71.8502,93.09,40,43,14.5,DO,1664127619
johi,26.6921,67.6133,89.4,47,6,7.38,PK,1664127619
jumla,29.2747,82.1838,58.42,90,100,3.31,NP,1664127619
kaduqli,11.0167,29.7167,76.41,78,68,4.94,SD,1664127620
kahului,20.8947,-156.47,82.85,68,0,3.44,US,1664127620
kaitangata,-46.2817,169.8464,47.3,94,100,3.18,NZ,1664127620
kalmunai,7.4167,81.8167,81.18,73,68,2.33,LK,1664127620
kampot,10.6167,104.1833,77.05,87,100,1.86,KH,1664127620
kandi,11.1342,2.9386,80.82,73,26,1.97,BJ,1664127620
kapaa,22.0752,-159.319,76.19,88,20,6.91,US,1664127620
karwar,14.8,74.1333,76.19,85,83,5.82,IN,1664127620
kasongo,-4.45,26.6667,77.22,56,99,2.19,CD,1664127620
kaspiysk,42.8816,47.6392,57.38,72,0,8.95,RU,1664127526
katherine,-14.4667,132.2667,80.92,44,59,8.05,AU,1664127621
katsuura,35.1333,140.3,71.71,86,85,12.17,JP,1664127621
kavieng,-2.5744,150.7967,81.43,75,4,10.02,PG,1664127621
kawalu,-7.3817,108.2082,70.88,98,54,1.03,ID,1664127621
kenai,60.5544,-151.2583,43.14,94,100,5.75,US,1664127621
kenitra,34.261,-6.5802,72.36,64,99,12.77,MA,1664127533
ketchikan,55.3422,-131.6461,55.87,94,100,4.61,US,1664127622
khatanga,71.9667,102.5,27.25,98,100,8.68,RU,1664127622
kieta,-6.2167,155.6333,77.72,82,31,0.31,PG,1664127622
kitsuki,33.4167,131.6167,70.2,85,53,0.78,JP,1664127622
kiunga,-6.1219,141.2906,72.84,100,91,1.77,PG,1664127622
kladanj,44.2264,18.6914,56.91,88,100,3.94,BA,1664127622
klaksvik,62.2266,-6.589,47.32,75,60,40.04,FO,1664127582
kloulklubed,7.0419,134.2556,77.5,74,100,1.68,PW,1664127623
knysna,-34.0363,23.0471,61.11,92,85,3.24,ZA,1664127623
kodiak,57.79,-152.4072,35.11,93,0,5.75,US,1664127623
komsomolskiy,40.4272,71.7189,70.52,43,0,6.91,UZ,1664127623
korla,41.7597,86.1469,72.46,30,33,8.55,CN,1664127623
koror,7.3398,134.4733,77.32,88,100,11.5,PW,1664127624
koscian,52.0883,16.6487,59.0,58,42,2.84,PL,1664127624
kovernino,57.1253,43.8142,45.93,91,100,4.81,RU,1664127624
kozmodemyansk,56.3367,46.5711,46.94,85,100,3.51,RU,1664127624
kriel,-26.2739,29.2253,71.78,34,0,7.63,ZA,1664127624
kropotkin,45.4375,40.5756,55.85,59,64,8.66,RU,1664127361
kruisfontein,-34.0033,24.7314,61.88,84,95,10.38,ZA,1664127625
kudahuvadhoo,2.6708,72.8944,80.8,78,100,10.92,MV,1664127625
kununurra,-15.7667,128.7333,75.18,83,76,0.0,AU,1664127625
kushima,31.4583,131.2333,73.63,94,28,3.71,JP,1664127625
labuhan,-6.8844,112.2051,78.13,82,98,8.61,ID,1664127626
lagoa,39.05,-27.9833,70.93,70,80,23.67,PT,1664127626
laguna,38.421,-121.4238,89.08,53,0,4.61,US,1664127626
lakatoro,-16.0999,167.4164,78.12,85,15,7.07,VU,1664127626
lakeside,30.13,-81.7682,89.74,53,75,6.91,US,1664127582
lapeer,43.0514,-83.3188,63.09,67,100,11.5,US,1664127627
las palmas,28.4204,-14.0131,68.79,94,75,9.22,ES,1664127361
lasa,46.6166,10.7002,58.08,92,87,2.17,IT,1664127627
lata,40.1629,-8.3327,71.92,47,15,6.44,PT,1664127627
lauria,40.0465,15.8358,63.03,63,100,3.56,IT,1664127627
lavrentiya,65.5833,-171.0,36.05,81,100,9.93,RU,1664127403
lebu,-37.6167,-73.65,53.38,63,6,7.36,CL,1664127627
leningradskiy,69.3833,178.4167,31.71,93,100,8.32,RU,1664127627
lermontovka,47.1453,134.3383,51.75,84,50,7.81,RU,1664127627
linda,39.1277,-121.5508,94.95,45,0,3.44,US,1664127627
liverpool,53.4106,-2.9779,57.7,74,75,14.97,GB,1664127627
